, DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,SNOW DP INCHES,Unnamed: 6,TEMP MN DEG F,Unnamed: 8,TEMP MX DEG F,Unnamed: 10,TEMP AV DEG F,Unnamed: 12
0,10/01/2016,--,,--,r,--,,--,,--,,--,
1,10/02/2016,--,,--,r,--,,--,,--,,--,
2,10/03/2016,-1.10,,--,r,268,,20,,33,,27,
3,10/04/2016,-1.01,,--,r,268,,23,,42,,32,
4,10/05/2016,-1.22,,--,r,268,,29,,41,,33,
5,10/06/2016,-1.39,,--,r,268,,30,,51,,40,
6,10/07/2016,-1.01,,--,r,268,,37,,59,,48,
7,10/08/2016,-1.09,,--,r,268,,40,,60,,50,
8,10/09/2016,-1.12,,--,r,268,,42,,59,,49,
9,10/10/2016,-1.20,,--,r,268,,37,,54,,46,
10,10/11/2016,-1.40,,--,r,268,,33,,54,,42,
11,10/12/2016,-1.40,,--,r,268,,36,,55,,44,
12,10/13/2016,-1.40,,--,r,268,,37,,42,,40,
13,10/14/2016,--,,--,r,--,,--,,--,,--,
14,10/15/2016,--,,--,r,--,,--,,--,,--,
15,10/16/2016,--,,--,r,--,,--,,--,,--,
16,10/17/2016,--,,--,r,--,,--,,--,,--,
17,10/18/2016,--,,--,r,--,,--,,--,,--,
18,10/19/2016,--,,--,r,--,,--,,--,,--,
19,10/20/2016,--,,--,r,--,,--,,--,,--,
20,10/21/2016,--,,--,r,--,,--,,--,,--,
21,10/22/2016,--,,--,r,--,,--,,--,,--,
22,10/23/2016,--,,--,r,--,,--,,--,,--,
23,10/24/2016,--,,--,r,--,,--,,--,,--,
24,10/25/2016,--,,--,r,--,,--,,--,,--,
25,10/26/2016,--,,--,r,--,,--,,--,,--,
26,10/27/2016,--,,--,r,--,,--,,--,,--,
27,10/28/2016,--,,--,r,--,,--,,--,,--,
28,10/29/2016,--,,--,r,--,,--,,--,,--,
29,10/30/2016,--,,--,r,--,,--,,--,,--,
30,10/31/2016,--,,--,r,--,,--,,--,,--,
31,11/01/2016,--,,--,r,--,,--,,--,,--,
32,11/02/2016,--,,--,r,--,,--,,--,,--,
33,11/03/2016,--,,--,r,--,,--,,--,,--,
34,11/04/2016,--,,--,r,--,,--,,--,,--,
35,11/05/2016,--,,--,,--,,--,,--,,--,
36,11/06/2016,--,,--,r,--,,--,,--,,--,
37,11/07/2016,--,,--,r,--,,--,,--,,--,
38,11/08/2016,--,,--,r,--,,--,,--,,--,
39,11/09/2016,--,,--,r,--,,--,,--,,--,
40,11/10/2016,--,,--,r,--,,--,,--,,--,
41,11/11/2016,--,,--,r,--,,--,,--,,--,
42,11/12/2016,--,,--,r,--,,--,,--,,--,
43,11/13/2016,--,,--,r,--,,--,,--,,--,
44,11/14/2016,--,,--,r,--,,--,,--,,--,
45,11/15/2016,--,,--,r,--,,--,,--,,--,
46,11/16/2016,--,,--,r,--,,--,,--,,--,
47,11/17/2016,--,,--,r,--,,--,,--,,--,
48,11/18/2016,--,,--,r,--,,--,,--,,--,
49,11/19/2016,--,,--,r,--,,--,,--,,--,
50,11/20/2016,--,,--,r,--,,--,,--,,--,
51,11/21/2016,--,,--,r,--,,--,,--,,--,
52,11/22/2016,--,,--,r,--,,--,,--,,--,
53,11/23/2016,--,,--,r,--,,--,,--,,--,
54,11/24/2016,--,,--,r,--,,--,,--,,--,
55,11/25/2016,--,,--,r,--,,--,,--,,--,
56,11/26/2016,--,,--,r,--,,--,,--,,--,
57,11/27/2016,--,,--,r,--,,--,,--,,--,
58,11/28/2016,--,,--,r,--,,--,,--,,--,
59,11/29/2016,--,,--,r,--,,--,,--,,--,
60,11/30/2016,--,,--,r,--,,--,,--,,--,
61,12/01/2016,--,,--,r,--,,--,,--,,--,
62,12/02/2016,--,,--,r,--,,--,,--,,--,
63,12/03/2016,--,,--,,--,,--,,--,,--,
64,12/04/2016,--,,--,r,--,,--,,--,,--,
65,12/05/2016,--,,--,r,--,,--,,--,,--,
66,12/06/2016,--,,--,r,--,,--,,--,,--,
67,12/07/2016,--,,--,r,--,,--,,--,,--,
68,12/08/2016,--,,--,r,--,,--,,--,,--,
69,12/09/2016,--,,--,r,--,,--,,--,,--,
70,12/10/2016,--,,--,r,--,,--,,--,,--,
71,12/11/2016,--,,--,r,--,,--,,--,,--,
72,12/12/2016,--,,--,r,--,,--,,--,,--,
73,12/13/2016,--,,--,r,--,,--,,--,,--,
74,12/14/2016,--,,--,r,--,,--,,--,,--,
75,12/15/2016,--,,--,r,--,,--,,--,,--,
76,12/16/2016,--,,--,r,--,,--,,--,,--,
77,12/17/2016,--,,--,r,--,,--,,--,,--,
78,12/18/2016,--,,--,r,--,,--,,--,,--,
79,12/19/2016,--,,--,r,--,,--,,--,,--,
80,12/20/2016,--,,--,r,--,,--,,--,,--,
81,12/21/2016,--,,--,r,--,,--,,--,,--,
82,12/22/2016,--,,--,r,--,,--,,--,,--,
83,12/23/2016,--,,--,r,--,,--,,--,,--,
84,12/24/2016,--,,--,r,--,,--,,--,,--,
85,12/25/2016,--,,--,r,--,,--,,--,,--,
86,12/26/2016,--,,--,r,--,,--,,--,,--,
87,12/27/2016,--,,--,r,--,,--,,--,,--,
88,12/28/2016,--,,--,r,--,,--,,--,,--,
89,12/29/2016,--,,--,r,--,,--,,--,,--,
90,12/30/2016,--,,--,r,--,,--,,--,,--,
91,12/31/2016,--,,--,r,--,,--,,--,,--,
92,01/01/2017,--,,--,r,--,,--,,--,,--,
93,01/02/2017,--,,--,r,--,,--,,--,,--,
94,01/03/2017,--,,--,r,--,,--,,--,,--,
95,01/04/2017,--,,--,r,--,,--,,--,,--,
96,01/05/2017,--,,--,r,--,,--,,--,,--,
97,01/06/2017,--,,--,r,--,,--,,--,,--,
98,01/07/2017,--,,--,r,--,,--,,--,,--,
99,01/08/2017,--,,--,r,--,,--,,--,,--,
100,01/09/2017,--,,--,r,--,,--,,--,,--,
101,01/10/2017,--,,--,r,--,,--,,--,,--,
102,01/11/2017,--,,--,r,--,,--,,--,,--,
103,01/12/2017,--,,--,r,--,,--,,--,,--,
104,01/13/2017,--,,--,r,--,,--,,--,,--,
105,01/14/2017,--,,--,r,--,,--,,--,,--,
106,01/15/2017,--,,--,r,--,,--,,--,,--,
107,01/16/2017,--,,--,r,--,,--,,--,,--,
108,01/17/2017,--,,--,r,--,,--,,--,,--,
109,01/18/2017,--,,--,r,--,,--,,--,,--,
110,01/19/2017,--,,--,r,--,,--,,--,,--,
111,01/20/2017,--,,--,r,--,,--,,--,,--,
112,01/21/2017,--,,--,r,--,,--,,--,,--,
113,01/22/2017,--,,--,r,--,,--,,--,,--,
114,01/23/2017,--,,--,r,--,,--,,--,,--,
115,01/24/2017,--,,--,r,--,,--,,--,,--,
116,01/25/2017,--,,--,r,--,,--,,--,,--,
117,01/26/2017,--,,--,r,--,,--,,--,,--,
118,01/27/2017,--,,--,r,--,,--,,--,,--,
119,01/28/2017,--,,--,r,--,,--,,--,,--,
120,01/29/2017,--,,--,r,--,,--,,--,,--,
121,01/30/2017,--,,--,r,--,,--,,--,,--,
122,01/31/2017,--,,--,r,--,,--,,--,,--,
123,02/01/2017,--,,--,r,--,,--,,--,,--,
124,02/02/2017,--,,--,r,--,,--,,--,,--,
125,02/03/2017,--,,--,r,--,,--,,--,,--,
126,02/04/2017,--,,--,,--,,--,,--,,--,
127,02/05/2017,--,,--,r,--,,--,,--,,--,
128,02/06/2017,--,,--,r,--,,--,,--,,--,
129,02/07/2017,--,,--,r,--,,--,,--,,--,
130,02/08/2017,--,,--,r,--,,--,,--,,--,
131,02/09/2017,--,,--,r,--,,--,,--,,--,
132,02/10/2017,--,,--,r,--,,--,,--,,--,
133,02/11/2017,--,,--,r,--,,--,,--,,--,
134,02/12/2017,--,,--,r,--,,--,,--,,--,
135,02/13/2017,--,,--,r,--,,--,,--,,--,
136,02/14/2017,--,,--,r,--,,--,,--,,--,
137,02/15/2017,--,,--,r,--,,--,,--,,--,
138,02/16/2017,--,,--,r,--,,--,,--,,--,
139,02/17/2017,--,,--,r,--,,--,,--,,--,
140,02/18/2017,--,,--,r,--,,--,,--,,--,
141,02/19/2017,--,,--,r,--,,--,,--,,--,
142,02/20/2017,--,,--,r,--,,--,,--,,--,
143,02/21/2017,--,,--,r,--,,--,,--,,--,
144,02/22/2017,--,,--,r,--,,--,,--,,--,
145,02/23/2017,--,,--,r,--,,--,,--,,--,
146,02/24/2017,--,,--,r,--,,--,,--,,--,
147,02/25/2017,--,,--,r,--,,--,,--,,--,
148,02/26/2017,--,,--,r,--,,--,,--,,--,
149,02/27/2017,--,,--,r,--,,--,,--,,--,
150,02/28/2017,--,,--,r,--,,--,,--,,--,
151,03/01/2017,--,,--,r,--,,--,,--,,--,
152,03/02/2017,--,,--,r,--,,--,,--,,--,
153,03/03/2017,--,,--,r,--,,--,,--,,--,
154,03/04/2017,--,,--,r,--,,--,,--,,--,
155,03/05/2017,--,,--,r,--,,--,,--,,--,
156,03/06/2017,--,,--,r,--,,--,,--,,--,
157,03/07/2017,--,,--,r,--,,--,,--,,--,
158,03/08/2017,--,,--,r,--,,--,,--,,--,
