, DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,SNOW DP INCHES,Unnamed: 6
0,10/01/2017,0.48,,0.0,r,0,
1,10/02/2017,0.5,,0.0,r,-0,
2,10/03/2017,0.5,,0.0,r,0,
3,10/04/2017,0.52,,0.0,r,0,
4,10/05/2017,0.52,,0.0,r,0,
5,10/06/2017,0.5,,0.0,r,0,
6,10/07/2017,0.49,,0.0,r,0,
7,10/08/2017,0.28,,0.0,r,0,
8,10/09/2017,0.33,,0.0,r,0,
9,10/10/2017,0.34,,0.0,r,1,
10,10/11/2017,0.35,,0.0,r,-0,
11,10/12/2017,0.03,,0.0,r,0,
12,10/13/2017,0.09,,0.0,r,0,
13,10/14/2017,0.11,,0.0,r,0,
14,10/15/2017,0.13,,0.0,r,0,
15,10/16/2017,0.13,,0.0,r,-0,
16,10/17/2017,0.12,,0.0,r,0,
17,10/18/2017,0.12,,0.0,r,-0,
18,10/19/2017,0.13,,0.0,r,0,
19,10/20/2017,0.41,,0.15,r,0,
20,10/21/2017,0.63,,0.38,r,0,
21,10/22/2017,0.41,,0.15,r,-0,
22,10/23/2017,0.4,,0.14,r,-0,
23,10/24/2017,0.39,,0.13,r,-0,
24,10/25/2017,0.36,,0.1,r,-0,
25,10/26/2017,0.34,,0.08,r,-0,
26,10/27/2017,0.32,,0.07,r,-0,
27,10/28/2017,0.3,,0.04,r,-0,
28,10/29/2017,0.28,,0.0,r,-0,
29,10/30/2017,0.26,,0.0,r,-0,
30,10/31/2017,0.27,,0.0,r,0,
31,11/01/2017,0.27,,0.0,r,-0,
32,11/02/2017,0.24,,0.0,r,-0,
33,11/03/2017,0.35,,0.1,r,-0,
34,11/04/2017,0.89,,0.64,r,--,
35,11/05/2017,1.08,,0.84,r,1,
36,11/06/2017,1.15,,0.9,r,2,
37,11/07/2017,1.48,,1.23,r,1,
38,11/08/2017,1.37,,1.13,r,1,
39,11/09/2017,0.93,,0.68,r,-0,
40,11/10/2017,0.57,,0.32,r,-0,
41,11/11/2017,0.58,,0.33,r,-0,
42,11/12/2017,0.74,,0.49,r,0,
43,11/13/2017,0.59,,0.34,r,-0,
44,11/14/2017,0.61,,0.36,r,-0,
45,11/15/2017,0.57,,0.32,r,-0,
46,11/16/2017,2.55,,2.3,r,--,
47,11/17/2017,2.45,,2.2,r,5,
48,11/18/2017,2.46,,2.21,r,--,
49,11/19/2017,2.46,,2.21,r,6,
50,11/20/2017,2.55,,2.3,r,6,
51,11/21/2017,2.23,,1.98,r,5,
52,11/22/2017,2.0,,1.75,r,4,
53,11/23/2017,1.94,,1.69,r,1,
54,11/24/2017,1.28,,1.03,r,-0,
55,11/25/2017,0.89,,0.64,r,0,
56,11/26/2017,0.64,,0.39,r,-0,
57,11/27/2017,0.66,,0.41,r,-0,
58,11/28/2017,0.69,,0.44,r,1,
59,11/29/2017,0.67,,0.42,r,1,
60,11/30/2017,0.73,,0.48,r,1,
61,12/01/2017,0.8,,0.55,r,1,
62,12/02/2017,1.02,,0.77,r,1,
63,12/03/2017,1.18,,0.93,r,3,
64,12/04/2017,1.15,,0.9,r,3,
65,12/05/2017,1.49,,1.24,r,4,
66,12/06/2017,1.15,,0.9,r,2,
67,12/07/2017,0.51,,0.26,r,2,
68,12/08/2017,-0.04,,0.0,r,2,
69,12/09/2017,-0.23,,0.0,r,2,
70,12/10/2017,-0.32,,0.0,r,1,
71,12/11/2017,-0.24,,0.0,r,1,
72,12/12/2017,0.11,,0.0,r,1,
73,12/13/2017,0.53,,0.28,r,1,
74,12/14/2017,0.78,,0.53,r,0,
75,12/15/2017,0.62,,0.37,r,1,
76,12/16/2017,1.08,,0.83,r,1,
77,12/17/2017,0.4,,0.83,r,1,
78,12/18/2017,1.08,,0.83,r,1,
79,12/19/2017,0.94,,0.69,r,1,
80,12/20/2017,1.65,,1.4,r,3,
81,12/21/2017,1.49,,1.24,r,2,
82,12/22/2017,1.16,,0.91,r,2,
83,12/23/2017,1.64,,1.39,r,2,
84,12/24/2017,1.48,,1.23,r,2,
85,12/25/2017,1.5,,1.25,r,2,
86,12/26/2017,1.24,,0.99,r,1,
87,12/27/2017,1.27,,1.02,r,1,
88,12/28/2017,1.46,,1.21,r,1,
