, DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,SNWCMIN INCHES,Unnamed: 6,SNWCMAX INCHES,Unnamed: 8,PPT INC INCHES,Unnamed: 10,RAIN INCHES,Unnamed: 12
0,10/01/2016,-0.48,,0.00,r,-0.60,,-0.12,,0.00,r,0.00,
1,10/02/2016,-0.48,,0.00,r,-0.60,,-0.24,,0.00,,0.00,
2,10/03/2016,-0.24,,0.00,r,-0.36,,-0.24,,0.12,,0.12,
3,10/04/2016,-0.36,,0.00,r,-0.48,,-0.12,,0.08,,0.20,
4,10/05/2016,-0.12,,0.00,r,-0.48,,0.00,,0.08,,0.28,
5,10/06/2016,-0.12,,0.00,r,-0.36,,0.00,,0.00,,0.28,
6,10/07/2016,-0.12,,0.00,r,-0.36,,0.00,,0.08,,0.36,
7,10/08/2016,-0.12,,0.00,r,-0.36,,0.00,,0.00,,0.36,
8,10/09/2016,-0.24,,0.00,r,-0.48,,0.00,,0.00,,0.36,
9,10/10/2016,-0.24,,0.00,r,-0.48,,-0.12,,0.00,,0.36,
10,10/11/2016,-0.36,,0.00,r,-0.48,,-0.12,,0.00,,0.36,
11,10/12/2016,-0.36,,0.00,r,-0.48,,-0.12,,0.00,,0.36,
12,10/13/2016,-0.36,,0.00,r,-0.48,,-0.24,,0.00,,0.36,
13,10/14/2016,-0.12,,0.00,r,-0.24,,0.00,,4.92,,5.28,
14,10/15/2016,-0.12,,0.00,r,-0.12,,-0.12,,1.64,,6.92,
15,10/16/2016,-0.12,,0.00,r,-0.12,,-0.12,,0.60,,7.52,
16,10/17/2016,-0.12,,0.00,r,-0.24,,-0.12,,0.68,,8.20,
17,10/18/2016,-0.24,,0.00,r,-0.36,,-0.12,,0.40,,8.60,
18,10/19/2016,-0.24,,0.00,r,-0.48,,0.00,,0.16,,8.76,
19,10/20/2016,-0.12,,0.00,r,-0.36,,0.00,,0.16,,8.92,
20,10/21/2016,-0.12,,0.00,r,-0.36,,0.00,,0.00,,8.92,
