, DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,PPT INC INCHES,Unnamed: 6,RAIN INCHES,Unnamed: 8
0,10/01/2016,0.48,,0.00,r,0.00,,0.0,
1,10/02/2016,0.36,,0.00,r,0.24,,0.24,
2,10/03/2016,0.96,,0.00,r,0.04,,0.28,
3,10/04/2016,0.84,,0.00,r,0.00,,0.28,
4,10/05/2016,0.60,,0.00,r,0.00,,0.28,
5,10/06/2016,0.48,,0.00,r,0.04,,0.32,
6,10/07/2016,0.60,,0.00,r,0.00,,0.32,
7,10/08/2016,0.72,,0.00,r,0.00,,0.32,
8,10/09/2016,0.72,,0.00,r,0.00,,0.32,
9,10/10/2016,0.72,,0.00,r,0.00,,0.32,
10,10/11/2016,0.60,,0.00,r,0.00,,0.32,
11,10/12/2016,0.60,,0.00,r,0.00,,0.32,
12,10/13/2016,0.60,,0.00,r,0.00,,0.32,
13,10/14/2016,0.72,,0.00,r,1.84,,2.16,
14,10/15/2016,0.72,,0.00,r,2.72,,4.88,
15,10/16/2016,0.60,,0.00,r,1.92,,6.8,
16,10/17/2016,2.16,,0.00,r,0.56,,7.36,
17,10/18/2016,2.16,,0.00,r,0.20,,7.56,
18,10/19/2016,2.04,,0.00,r,0.00,,7.56,
19,10/20/2016,1.92,,0.00,r,0.16,,7.72,
20,10/21/2016,2.04,,0.00,r,0.00,,7.72,
21,10/22/2016,2.28,,0.00,r,0.00,,7.72,
22,10/23/2016,2.04,,0.00,r,0.00,,7.72,
23,10/24/2016,2.16,,0.00,r,0.04,,7.76,
24,10/25/2016,-0.48,,0.00,r,0.28,,8.04,
25,10/26/2016,-1.20,,0.00,r,0.20,,8.24,
26,10/27/2016,-1.32,,0.00,r,0.28,,8.52,
27,10/28/2016,-1.32,,0.00,r,1.12,,9.64,
28,10/29/2016,-1.44,,0.00,r,0.00,,9.64,
29,10/30/2016,-1.44,,0.00,r,1.16,,10.8,
30,10/31/2016,-0.12,,0.00,r,0.52,,11.32,
31,11/01/2016,0.36,,0.00,r,0.52,,11.84,
32,11/02/2016,0.48,,0.00,r,0.08,,11.92,
33,11/03/2016,0.48,,0.00,r,0.04,,11.96,
34,11/04/2016,0.48,,0.24,r,0.04,,12.0,
35,11/05/2016,0.48,,0.24,r,0.00,,12.0,
36,11/06/2016,0.48,,0.24,r,0.00,,12.0,
37,11/07/2016,0.36,,0.00,r,0.00,,12.0,
38,11/08/2016,0.12,,0.00,r,0.00,,12.0,
39,11/09/2016,0.12,,0.00,r,0.00,,12.0,
40,11/10/2016,0.00,,0.00,r,0.00,,12.0,
41,11/11/2016,-0.12,,0.00,r,0.00,,12.0,
42,11/12/2016,-0.24,,0.00,r,0.00,,12.0,
43,11/13/2016,-0.84,,0.00,r,0.00,,12.0,
44,11/14/2016,-1.08,,0.00,r,0.00,,12.0,
45,11/15/2016,-1.08,,0.00,r,0.04,,12.04,
46,11/16/2016,-0.24,,0.00,r,0.08,,12.12,
