, DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,PPT INC INCHES,Unnamed: 6,RAIN INCHES,Unnamed: 8
0,10/01/2017,0.12,,0.00,r,0.00,,0.0,
1,10/02/2017,0.0,,0.00,,0.00,,0.0,
2,10/03/2017,0.0,,0.00,,0.00,,0.0,
3,10/04/2017,0.0,,0.00,,0.00,,0.0,
4,10/05/2017,0.0,,0.00,,0.00,,0.0,
5,10/06/2017,0.12,,0.00,r,0.00,,0.0,
6,10/07/2017,0.12,,0.00,r,0.00,,0.0,
7,10/08/2017,0.12,,0.00,r,0.00,,0.0,
8,10/09/2017,0.12,,0.00,r,0.00,,0.0,
9,10/10/2017,0.12,,0.00,r,0.00,,0.0,
10,10/11/2017,0.12,,0.00,r,0.04,,0.04,
11,10/12/2017,-0.12,,0.00,r,0.04,,0.08,
12,10/13/2017,0.0,,0.00,,0.00,,0.08,
13,10/14/2017,0.0,,0.00,,0.00,,0.08,
14,10/15/2017,0.0,,0.00,,0.12,,0.2,
15,10/16/2017,0.0,,0.00,,0.12,,0.32,
16,10/17/2017,0.0,,0.00,,0.00,,0.32,
17,10/18/2017,0.0,,0.00,,0.00,,0.32,
18,10/19/2017,0.0,,0.00,,0.00,,0.32,
19,10/20/2017,0.36,,0.36,,0.20,,0.52,
20,10/21/2017,0.24,,0.24,,0.08,,0.6,
21,10/22/2017,0.0,,0.00,,0.36,,0.96,
22,10/23/2017,0.0,,0.00,,0.12,,1.08,
23,10/24/2017,0.0,,0.00,,0.00,,1.08,
24,10/25/2017,0.0,,0.00,,0.12,,1.2,
25,10/26/2017,0.0,,0.00,,0.00,,1.2,
26,10/27/2017,0.0,,0.00,,0.00,,1.2,
27,10/28/2017,0.0,,0.00,,0.00,,1.2,
28,10/29/2017,0.0,,0.00,,0.00,,1.2,
29,10/30/2017,0.0,,0.00,,0.00,,1.2,
30,10/31/2017,0.0,,0.00,,0.00,,1.2,
31,11/01/2017,0.0,,0.00,,0.00,,1.2,
32,11/02/2017,0.0,,0.00,,0.00,,1.2,
33,11/03/2017,-0.12,,0.00,r,0.00,,1.2,
34,11/04/2017,0.96,,0.96,,1.16,,2.36,
35,11/05/2017,1.8,,1.80,,0.16,,2.52,
36,11/06/2017,1.8,,1.80,,0.24,,2.76,
37,11/07/2017,1.92,,1.92,,0.12,,2.88,
38,11/08/2017,2.16,,2.16,,1.00,,3.88,
39,11/09/2017,2.16,,2.16,,1.00,,4.88,
40,11/10/2017,2.16,,2.16,,0.36,,5.24,
41,11/11/2017,2.04,,2.04,,0.32,,5.56,
42,11/12/2017,2.04,,2.04,,0.00,,5.56,
43,11/13/2017,2.04,,2.04,,0.64,,6.2,
44,11/14/2017,2.04,,2.04,,0.32,,6.52,
45,11/15/2017,2.04,,2.04,,1.80,,8.32,
46,11/16/2017,2.64,,2.64,,0.92,,9.24,
47,11/17/2017,2.64,,2.64,,0.44,,9.68,
48,11/18/2017,2.76,,2.76,,0.00,,9.68,
49,11/19/2017,2.88,,2.88,,0.04,,9.72,
50,11/20/2017,2.88,,2.88,,1.40,,11.12,
51,11/21/2017,3.0,,3.00,,0.24,,11.36,
52,11/22/2017,3.0,,3.00,,0.04,,11.4,
53,11/23/2017,3.0,,3.00,,0.00,,11.4,
54,11/24/2017,3.0,,3.00,,0.00,,11.4,
55,11/25/2017,2.88,,2.88,,0.00,,11.4,
56,11/26/2017,2.88,,2.88,,1.04,,12.44,
57,11/27/2017,2.76,,2.76,,0.40,,12.84,
58,11/28/2017,2.76,,2.76,,0.04,,12.88,
59,11/29/2017,2.76,,2.76,,0.00,,12.88,
60,11/30/2017,2.64,,2.64,,0.00,,12.88,
61,12/01/2017,2.64,,2.64,,0.00,,12.88,
62,12/02/2017,2.64,,2.64,,0.04,,12.92,
63,12/03/2017,2.64,,2.64,,0.32,,13.24,
64,12/04/2017,2.64,,2.64,,0.00,,13.24,
65,12/05/2017,2.64,,2.64,,0.00,,13.24,
66,12/06/2017,2.64,,2.64,,0.04,,13.28,
67,12/07/2017,2.64,,2.64,,0.04,,13.32,
68,12/08/2017,2.76,,2.76,,0.04,,13.36,
69,12/09/2017,2.76,,2.76,,0.00,,13.36,
70,12/10/2017,2.76,,2.76,,0.00,,13.36,
71,12/11/2017,2.76,,2.76,,0.00,,13.36,
72,12/12/2017,2.76,,2.76,,0.04,,13.4,
73,12/13/2017,2.76,,2.76,,0.08,,13.48,
74,12/14/2017,2.76,,2.76,,0.00,,13.48,
75,12/15/2017,2.76,,2.76,,0.00,,13.48,
76,12/16/2017,2.76,,2.76,,0.00,,13.48,
77,12/17/2017,2.64,,2.64,,0.00,,13.48,
78,12/18/2017,2.76,,2.76,,0.00,,13.48,
79,12/19/2017,2.76,,2.76,,0.00,,13.48,
80,12/20/2017,2.76,,2.76,,0.16,,13.64,
81,12/21/2017,2.64,,2.64,,0.00,,13.64,
82,12/22/2017,2.64,,2.64,,0.08,,13.72,
83,12/23/2017,2.76,,2.76,,0.12,,13.84,
84,12/24/2017,2.76,,2.76,,0.00,,13.84,
85,12/25/2017,2.76,,2.76,,0.00,,13.84,
86,12/26/2017,2.76,,2.76,,0.04,,13.88,
87,12/27/2017,2.76,,2.76,,0.00,,13.88,
88,12/28/2017,2.76,,2.76,,0.04,,13.92,
89,12/29/2017,2.76,,2.76,,0.00,,13.92,
90,12/30/2017,2.76,,2.76,,0.00,,13.92,
91,12/31/2017,2.76,,2.76,,0.00,,13.92,
92,01/01/2018,2.76,,2.76,,0.00,,13.92,
93,01/02/2018,2.76,,2.76,,0.00,,13.92,
94,01/03/2018,2.76,,2.76,,0.00,,13.92,
95,01/04/2018,2.76,,2.76,,0.00,,13.92,
96,01/05/2018,2.88,,2.88,,0.84,,14.76,
97,01/06/2018,2.76,,2.76,,0.04,,14.8,
98,01/07/2018,2.64,,2.64,,0.00,,14.8,
99,01/08/2018,2.64,,2.64,,0.88,,15.68,
100,01/09/2018,2.64,,--,r,1.12,,16.8,
101,01/10/2018,2.64,,--,r,0.40,,17.2,
102,01/11/2018,2.64,,--,r,0.04,,17.24,
103,01/12/2018,2.64,,--,r,0.12,,17.36,
104,01/13/2018,2.64,,--,r,0.04,,17.4,
105,01/14/2018,2.64,,--,r,0.00,,17.4,
106,01/15/2018,2.64,,--,r,0.00,,17.4,
107,01/16/2018,2.64,,--,r,0.44,,17.84,
108,01/17/2018,2.64,,--,r,0.04,,17.88,
109,01/18/2018,2.64,,--,r,1.20,,19.08,
110,01/19/2018,2.64,,--,r,0.24,,19.32,
111,01/20/2018,2.64,,--,r,0.00,,19.32,
112,01/21/2018,2.64,,--,r,0.12,,19.44,
113,01/22/2018,2.64,,--,r,0.40,,19.84,
114,01/23/2018,2.64,,--,r,0.04,,19.88,
115,01/24/2018,2.64,,--,r,1.04,,20.92,
